Timestamp,Student ID:,"Overall, how anxious or stressed did you feel during this programming session?","Did you experience any moments where you felt completely ""stuck"" or blocked?",How difficult was the programming task you were working on?,Were there any external factors that caused you stress or distraction during the session? (Check all that apply),"If you felt stressed at any point, what specifically triggered it? (Optional)"
4/7/2026 12:40:33,0112530043,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","Debugging errors, understanding the logic of the problem, and dealing with compiler issues during implementation."
4/7/2026 12:47:33,0112530132,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","I felt incredibly stuck trying to get my code to run. I kept switching back and forth between my code (main.c/Untitled4.c) and the execution window (b12.exe), but my compile success rate was dropping. I spent a huge portion of the test just deleting code I had written and staring at the screen trying to figure out the logic, which made my anxiety go through the roof."
4/7/2026 12:49:56,0112530192,5,"Yes, for a significant part of the session",5,"Time pressure, Extreme self-doubt","I was in a state of sheer panic for basically the entire session. The problem felt completely overwhelming and impossible to solve. Even though I tried to type, I had zero confidence in my logic—my backspace rate was huge because I kept deleting almost everything I wrote right after typing it. I spent about 80% of the time either sitting completely idle or pausing to stare at the screen, totally stuck. Because I couldn't figure it out, I was wildly distracted, frantically switching tabs and clicking on different windows tens of thousands of times just trying to find an answer or escape the stress. It was a miserable and highly critical experience."
4/7/2026 12:50:07,0112530126,4,"Yes, for a short time",3,"Noise/distractions in the lab, Time pressure",Getting a logical error right when I thought I was finished. Watching the clock tick down while I was trying to debug my loops really spiked my stress.
4/7/2026 12:52:02,0112530110,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Noise/distractions in the lab",I could not focus and was constantly switching windows/tabs
4/7/2026 12:52:52,0112530164,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Time pressure, Extreme inability to focus and frantic multitasking","I was incredibly overwhelmed and paralyzed during this session. The problem was just too difficult, and I felt completely blocked—I spent over 70% of the time just sitting there idle, staring at the screen without knowing what to type. Over the whole session, I didn't even reach 900 keystrokes. When I did manage to try something, my code wouldn't compile (it basically failed half the time), which made me panic, second-guess myself, and hit backspace constantly. Because I was so stuck and stressed, I couldn't keep my focus on the IDE. I kept frantically clicking away, switching tabs and windows over 19,000 times just looking for answers, checking other things, or trying to escape the pressure. It was an extremely stressful experience."
4/7/2026 12:54:13,0112310431,4,"Yes, for a significant part of the session",4,"Time pressure, Severe distraction and inability to focus.","I felt pretty stressed out and stuck for most of the session. The problem was difficult to wrap my head around, and I spent half the time just sitting there idle, staring at the screen. I barely typed anything—only about 700 keystrokes the whole time. When I did try to type, I kept deleting my work because I wasn't confident in my approach. Because I couldn't figure out the logic, I completely lost my focus. I kept frantically clicking away from the IDE, switching windows over 16,000 times just looking for answers, checking other tabs, or trying to escape the mental block. It was a very fragmented and frustrating experience."
4/7/2026 12:54:50,0112510044,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure",syntax error 
4/7/2026 12:56:23,0112530120,4,"Yes, for a significant part of the session",3,"IDE/Compiler issues, Time pressure","Getting a 'Segmentation Fault' right as the halfway point was announced. It took me several tries to find the off-by-one error in my array, and the pressure of knowing I was losing time made it hard to think clearly."
4/7/2026 12:56:23,0112510394,3,"Yes, for a short time",4,"Lack of understanding of the topic, Time pressure","I was doing okay at first, but I got completely stuck on the logic for one of the middle requirements. I had to delete a big chunk of my code and start that section over. Knowing I was losing time while trying to remember how to structure the algorithm properly made me pretty nervous."
